2015-08-17 15:56:00,0,0,0,0,527,0
2015-08-17 15:58:00,0,0,0,0,25,0
2015-08-17 16:00:00,0,0,0,0,740,0
2015-08-17 16:08:00,57,0,0,1,1632,0
2015-08-17 16:10:00,84,6,0,1,3199,1
2015-08-17 16:12:00,26,5,1,1,1986,0
2015-08-17 16:14:00,20,4,3,1,1165,0
2015-08-17 16:16:00,29,1,0,1,908,0
2015-08-17 16:18:00,61,1,0,1,1545,0
2015-08-17 16:20:00,0,0,0,0,175,0
2015-08-17 16:22:00,63,13,2,1,2293,1
2015-08-17 16:24:00,4,5,0,1,500,1
2015-08-17 16:26:00,0,0,0,0,0,1
2015-08-17 16:28:00,56,20,23,1,3141,1
2015-08-17 16:40:00,101,6,2,1,2911,1
2015-08-17 16:42:00,93,10,12,1,3275,1
2015-08-17 16:44:00,0,14,24,1,1602,1
2015-08-17 16:46:00,6,10,15,1,967,1
2015-08-17 16:48:00,0,0,0,0,120,1
2015-08-17 16:50:00,0,0,0,0,0,1
2015-08-17 16:52:00,45,18,41,1,3682,1
2015-08-17 16:54:00,38,5,0,1,1383,0
2015-08-17 17:02:00,1,0,14,1,1004,0
2015-08-17 17:06:00,41,12,1,1,1695,0
2015-08-17 17:08:00,14,1,0,1,482,0
2015-08-17 17:10:00,0,0,0,0,545,0
2015-08-17 17:20:00,47,19,2,1,2034,0
2015-08-17 17:22:00,89,5,0,1,2825,1
2015-08-17 17:24:00,102,3,5,1,3468,1
2015-08-17 17:26:00,117,2,0,1,3880,1
2015-08-17 17:28:00,117,0,0,1,3655,1
2015-08-17 17:30:00,119,0,0,1,3704,1
2015-08-17 17:32:00,103,11,3,1,3599,1
2015-08-17 17:34:00,114,3,1,1,3597,1
2015-08-17 17:36:00,119,0,0,1,3609,1
2015-08-17 17:38:00,113,0,0,1,3401,1
2015-08-17 17:40:00,101,0,0,1,2715,1
2015-08-17 17:42:00,103,3,12,1,3656,1
2015-08-17 17:44:00,117,0,0,1,3640,1
2015-08-17 17:46:00,82,24,13,1,3684,1
2015-08-17 17:48:00,119,0,0,1,3542,1
2015-08-17 17:50:00,119,0,0,1,3658,1
2015-08-17 17:52:00,101,3,0,1,3112,1
2015-08-17 17:54:00,93,0,0,1,2660,1
2015-08-17 17:56:00,115,0,0,1,3088,1
2015-08-17 17:58:00,0,0,0,0,2440,0
2015-08-17 18:00:00,54,0,0,1,1268,0
2015-08-17 18:02:00,100,0,0,1,2588,1
2015-08-17 18:04:00,55,0,0,1,1534,0
2015-08-17 18:06:00,100,4,0,1,3130,1
2015-08-17 18:08:00,93,0,0,1,2847,1
2015-08-17 18:10:00,97,6,3,1,3358,1
2015-08-17 18:12:00,94,0,0,1,2901,1
2015-08-17 18:14:00,90,0,0,1,2531,1
2015-08-17 18:16:00,101,0,0,1,2638,1
2015-08-17 18:18:00,0,0,0,0,2199,0
2015-08-17 18:20:00,0,0,0,0,1815,0
2015-08-17 18:22:00,28,0,0,1,717,0
2015-08-17 18:24:00,38,0,0,1,2407,0
2015-08-17 18:26:00,0,0,0,0,984,0
2015-08-17 18:28:00,0,0,0,0,742,0
2015-08-17 18:32:00,0,0,0,0,185,0
2015-08-17 18:34:00,0,0,0,0,193,0
2015-08-17 18:40:00,0,0,0,0,27,0
2015-08-17 18:46:00,40,0,0,1,1188,0
2015-08-17 18:48:00,5,3,5,1,3039,0
2015-08-17 18:50:00,39,0,0,1,1079,0
2015-08-17 18:52:00,0,0,0,0,636,0
2015-08-17 18:58:00,7,0,0,1,173,0
2015-08-17 19:00:00,0,0,0,0,2366,0
2015-08-17 19:02:00,0,0,0,0,1301,0
2015-08-17 19:04:00,0,0,0,0,148,0
2015-08-17 19:10:00,59,0,0,1,1652,0
2015-08-17 19:12:00,82,0,0,1,2398,1
2015-08-17 19:14:00,0,0,0,0,2217,0
2015-08-17 19:24:00,0,0,0,0,193,0
2015-08-17 19:32:00,0,0,0,0,1243,0
2015-08-17 19:48:00,0,0,0,0,656,0
2015-08-17 19:50:00,22,0,0,1,616,0
2015-08-17 19:52:00,76,1,3,1,2358,1
2015-08-17 19:54:00,0,0,0,0,2289,0
2015-08-17 19:56:00,96,0,0,1,2846,1
2015-08-17 20:12:00,39,0,4,1,1134,0
2015-08-17 20:14:00,37,0,0,1,3058,0
2015-08-17 20:16:00,84,0,0,1,2544,1
2015-08-17 20:18:00,69,0,0,1,1974,0
2015-08-17 20:20:00,0,0,0,0,1613,0
2015-08-17 20:22:00,47,0,0,1,1339,0
2015-08-17 20:24:00,30,0,3,1,859,0
2015-08-17 20:26:00,74,0,0,1,2033,1
2015-08-17 20:28:00,23,0,0,1,672,0
2015-08-17 20:30:00,51,0,0,1,1428,0
2015-08-17 20:32:00,83,0,0,1,2325,1
2015-08-17 20:34:00,116,0,0,1,3312,1
2015-08-17 20:36:00,97,0,0,1,2620,1
2015-08-17 20:38:00,81,5,0,1,2432,1
2015-08-17 20:40:00,118,0,0,1,3364,1
